browser,datetime,ip_anonymized,language,message
chrome,2015-09-01 00:02:14,9631420eea21b0458d01f7cc598c3ac2,en,0
firefox,2015-09-01 00:04:25,08bd4c63e1abb0e624cde4ac1518de73,ru,2
firefox,2015-09-01 00:07:34,07678caba7be8bbadead98d5b530c5ff,de,1
chrome,2015-09-01 00:07:47,ba759e7216a6a73d55591aed389ce2ad,en,2
chrome,2015-09-01 00:08:41,db166a3780720484f9ca31b093c5b6f0,en,1
firefox,2015-09-01 00:09:21,421871ae5a41403859858cf890813921,en,2
chrome,2015-09-01 00:09:26,f26cc46a7d87be306adad0ba93c5d04f,de,1
chrome,2015-09-01 00:10:41,8ef4dd335e0731b0cade74f92f76258e,fr,1
chrome,2015-09-01 00:11:03,0672c395378bb221b8218e12116ace46,ru,1
chrome,2015-09-01 00:11:49,323cec41435df3df6d1fce858c7995cd,de,1
firefox,2015-09-01 00:12:39,778518e6e0104d23f9207753b944e815,en,1
firefox,2015-09-01 00:13:54,da4af73ebd5ba971fbdb92d6146f4ac3,fr,0
chrome,2015-09-01 00:14:59,39543e80cacb83dd086e7ad0f6e7a687,en,0
firefox,2015-09-01 00:15:54,addf7c9336ea1531b09cf735ac494495,de,2
chrome,2015-09-01 00:16:17,bfbd1971d869efde21c1ddaceb140d12,de,1
firefox,2015-09-01 00:16:57,d4f32526cd449da5aa08d19e0b04268f,de,2
chrome,2015-09-01 00:18:24,39710bbd98526e26f87b5d6454910991,de,0
firefox,2015-09-01 00:18:43,69b315c8c5810c5221c56c2dd94561da,en,1
chrome,2015-09-01 00:18:55,e1cc5b443a6b4c07cf488cbccdcf910e,de,1
chrome,2015-09-01 00:19:35,421e8d0f2e53765c495e6af954cf9b7c,de,0
chrome,2015-09-01 00:20:15,c7df6ec27811967c070f6f777210eb09,cn,2
chrome,2015-09-01 00:22:17,b061326f5418472dac9d5fdd3c284e19,cn,1
chrome,2015-09-01 00:23:00,80aff1ad7fdd7588ec107a786e693e0f,de,2
firefox,2015-09-01 00:23:44,3a52f7b2a67b2e8f92f26124868f849a,de,0
chrome,2015-09-01 00:23:56,74c5b66b14997217a8223671abf6c530,de,1
chrome,2015-09-01 00:27:04,a26377731c3c271a05e42187ac44109e,en,1
chrome,2015-09-01 00:27:20,e95fd750be5d7a0c4256b5263e13b1ab,cn,1
firefox,2015-09-01 00:27:29,23f56c2c6ab4079031bc5a934109862d,en,0
chrome,2015-09-01 00:28:06,581dda1cafd0a6175991cc6021ee32f0,en,1
firefox,2015-09-01 00:28:19,8db34c327768741464ae81da3c2fad2c,en,1
chrome,2015-09-01 00:29:09,30efe616e9ffb1f104c0e3f4a05e3a18,de,2
chrome,2015-09-01 00:29:15,95830178a2fc3784c66ac5b8764f8b5d,fr,0
